artist,image_url,website_url,wiki_url,wiki_extract
Greta Van Fleet,https://upload.wikimedia.org/wikipedia/commons/6/6d/Greta_Van_Fleet.jpg,,https://en.wikipedia.org/wiki/Greta_Van_Fleet,"Greta Van Fleet is an American rock band formed in Frankenmuth, Michigan, in 2012. The band consists of vocalist Josh Kiszka, guitarist Jake Kiszka, bassist/keyboardist Sam Kiszka, and drummer Danny Wagner. The Kiszkas are brothers, and Josh and Jake Kiszka are twins. Greta Van Fleet was signed to Lava Records in March 2017, and a month later they released their debut studio EP, Black Smoke Rising"
Guns N' Roses,https://upload.wikimedia.org/wikipedia/commons/b/b9/GNR_Belgrade_2025_05_%28cropped%29.jpg,,https://en.wikipedia.org/wiki/Guns_N'_Roses,"Guns N' Roses is an American hard rock band formed in Los Angeles, California, in 1985 from L.A. Guns and Hollywood Rose. After signing with Geffen Records in 1986, the band's ""classic"" lineup featured vocalist Axl Rose, lead guitarist Slash, rhythm guitarist Izzy Stradlin, bassist Duff McKagan, and drummer Steven Adler."
Halestorm,https://upload.wikimedia.org/wikipedia/commons/1/1d/Halestorm_-_2019158165602_2019-06-07_Rock_am_Ring_-_0142_-_5DSR0427.jpg,,https://en.wikipedia.org/wiki/Halestorm,"Halestorm is an American rock band from Red Lion, Pennsylvania, consisting of lead vocalist and guitarist Lzzy Hale, drummer Arejay Hale, guitarist Joe Hottinger, and bassist Josh Smith. Siblings Lzzy and Arejay founded the band in 1997. The group's self-titled debut album was released in 2009 through Atlantic Records."
Hellyeah,https://upload.wikimedia.org/wikipedia/commons/f/fe/Hellyeah-14.jpg,,https://en.wikipedia.org/wiki/Hellyeah,"Hellyeah, stylized as HELLYEAH, was an American heavy metal supergroup formed in Dallas, Texas, in 2006. The band's last lineup consisted of lead vocalist Chad Gray, guitarists Christian Brady and Tom Maxwell, bassist Kyle Sanders, and drummer Roy Mayorga. The idea to form a supergroup originated in 2000 on the Tattoo the Earth tour, although plans were constantly put on hold due to scheduling con"
In This Moment,https://upload.wikimedia.org/wikipedia/commons/1/14/In_This_Moment_With_Full_Force_2018_30.jpg,,https://en.wikipedia.org/wiki/In_This_Moment,"In This Moment is an American rock band from Los Angeles, California, formed by singer Maria Brink and guitarist Chris Howorth in 2005. They found drummer Jeff Fabb and started the band as Dying Star. Unhappy with their musical direction, they changed their name to In This Moment and gained two band members, guitarist Blake Bunzel and bassist Josh Newell. In 2005, bassist Newell left the band and"
Jack White,https://upload.wikimedia.org/wikipedia/commons/d/dd/Werchter070718_p2_%285_of_37%29_%2853977414178%29_%28cropped%29.jpg,,https://en.wikipedia.org/wiki/Jack_White,"John Anthony White is an American musician and record producer who was the guitarist and lead vocalist of the rock duo the White Stripes. He was a key artist of the 2000s indie and garage rock movements, noted for his distinctive musical techniques, eccentricity, and utilization of analog technology. After the White Stripes split up in 2011, he found success with his solo career and business ventu"
Justin Timberlake,https://upload.wikimedia.org/wikipedia/commons/e/ed/Justin_Timberlake_by_Gage_Skidmore_2.jpg,,https://en.wikipedia.org/wiki/Justin_Timberlake,"Justin Randall Timberlake is an American singer, songwriter, actor, record producer, and dancer. Dubbed the ""Prince of Pop"", he is one of the best-selling music artists of all time. Billboard named him one of the greatest pop stars of the 21st century. His awards include ten Grammy Awards, four Primetime Emmy Awards, three Brit Awards, nine Billboard Music Awards, the Contemporary Icon Award by th"
KISS,https://upload.wikimedia.org/wikipedia/commons/a/af/Kiss_original_lineup_%281976%29.jpg,,https://en.wikipedia.org/wiki/Kiss_(band),"Kiss was an American rock band formed in New York City in 1973 by Paul Stanley, Gene Simmons, Ace Frehley and Peter Criss. Known for their face paint and stage outfits, the group rose to prominence in the mid-1970s with shock rock–style live performances that featured fire-breathing, blood-spitting, smoking guitars, shooting rockets, levitating drum kits and pyrotechnics. The band went through sev"
Korn,https://upload.wikimedia.org/wikipedia/commons/2/29/Korn_-_2022156202911_2022-06-05_Rock_am_Ring_-_Sven_-_1D_X_MK_II_-_2645_-_B70I4504.jpg,,https://en.wikipedia.org/wiki/Korn,"Korn is an American nu metal band from Bakersfield, California, originally formed in 1993 by James ""Munky"" Shaffer, Reginald ""Fieldy"" Arvizu and David Silveria, who were members of the band L.A.P.D. Their current lineup features Shaffer (guitar), Brian ""Head"" Welch (guitar), Jonathan Davis (vocals), and Ray Luzier (drums), the last of whom replaced Silveria in 2007. The band is notable for pioneer"
Linkin Park,https://upload.wikimedia.org/wikipedia/commons/d/d8/Linkin_Park_-_From_Zero_Lead_Press_Photo_-_James_Minchin_III.jpg,,https://en.wikipedia.org/wiki/Linkin_Park,"Linkin Park is an American rock band formed in Agoura Hills, California, in 1996. The band's current lineup consists of vocalist/rhythm guitarist/keyboardist Mike Shinoda, lead guitarist Brad Delson, DJ/turntablist Joe Hahn, bassist Dave Farrell, vocalist Emily Armstrong, and drummer Colin Brittain. The lineup for the band's first seven studio albums included lead vocalist Chester Bennington and d"
Lunatic Luau,https://upload.wikimedia.org/wikipedia/en/e/ee/Pod_satellite.png,,https://en.wikipedia.org/wiki/Satellite_(P.O.D._song),"""Satellite"" is a song by American Christian metal band P.O.D. and the title track of their fourth studio album, Satellite (2001), released on August 5, 2002, as the fourth and final single from the album. The single's release was accompanied by a music video containing live footage of the band's performance at the Virginia Beach Amphitheater during FM99's Lunatic Luau 6 on July 21, 2002, as well a"
Lynyrd Skynyrd,https://upload.wikimedia.org/wikipedia/commons/9/9c/Lynyrd_Skynyrd_%281977%29.jpg,,https://en.wikipedia.org/wiki/Lynyrd_Skynyrd,"Lynyrd Skynyrd is an American rock band formed in Jacksonville, Florida, in 1964. The group originally formed as My Backyard and comprised Ronnie Van Zant (vocals), Gary Rossington (guitar), Allen Collins (guitar), Larry Junstrom (bass), and Bob Burns (drums). The band spent four years touring small venues under various names and with several lineup changes before deciding on ""Lynyrd Skynyrd"" in 1"
Maroon 5,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Maroon_5_Current_Lineup_Collage.jpg/3840px-Maroon_5_Current_Lineup_Collage.jpg,,https://en.wikipedia.org/wiki/Maroon_5,"Maroon 5 is an American pop rock band formed in Los Angeles, California. It consists of lead vocalist and guitarist Adam Levine, rhythm guitarist and keyboardist Jesse Carmichael, lead guitarist James Valentine, drummer Matt Flynn, keyboardist PJ Morton, and bassist and keyboardist Sam Farrar. Original members Levine, Carmichael, bassist Mickey Madden, and drummer Ryan Dusick first came together a"
Metallica,https://upload.wikimedia.org/wikipedia/commons/8/81/Metallica_March_2024.jpg,,https://en.wikipedia.org/wiki/Metallica,"Metallica is an American heavy metal band. It was formed in Los Angeles in 1981 by vocalist/guitarist James Hetfield and drummer Lars Ulrich, and has been based in San Francisco for most of its career. The band's fast tempos, instrumentals and aggressive musicianship made them one of the founding ""big four"" bands of thrash metal, alongside Megadeth, Anthrax, and Slayer. Metallica's current lineup"
Mr. Bungle,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mr._Bungle.png,,https://en.wikipedia.org/wiki/Mr._Bungle,"Mr. Bungle is an American experimental rock band formed in Eureka, California, in 1985. Having gone through many incarnations throughout its career, the band is best known for its experimental rock period. During this time, it developed a highly eclectic style, cycling through several musical genres, often within the course of a single song, including heavy metal, avant-garde jazz, ska, disco, and"
NIN,https://upload.wikimedia.org/wikipedia/commons/a/a3/Nine_Inch_Nails_-_20.06.2022_-_O2_Apollo_Manchester.jpg,,https://en.wikipedia.org/wiki/Nine_Inch_Nails,"Nine Inch Nails, commonly abbreviated as NIN, is an American industrial rock band formed by singer, songwriter, multi-instrumentalist, and producer Trent Reznor in 1988 in Cleveland, Ohio. Reznor was the sole permanent member of the band until his frequent collaborator, English musician Atticus Ross, became an official member in 2016. The band's debut album, Pretty Hate Machine (1989), was release"
Nine Inch Nails,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Nine_Inch_Nails_-_20.06.2022_-_O2_Apollo_Manchester.jpg/3840px-Nine_Inch_Nails_-_20.06.2022_-_O2_Apollo_Manchester.jpg,,https://en.wikipedia.org/wiki/Nine_Inch_Nails,"Nine Inch Nails, commonly abbreviated as NIN, is an American industrial rock band formed by singer, songwriter, multi-instrumentalist, and producer Trent Reznor in 1988 in Cleveland, Ohio. Reznor was the sole permanent member of the band until his frequent collaborator, English musician Atticus Ross, became an official member in 2016. The band's debut album, Pretty Hate Machine (1989), was release"
Pearl Jam,https://upload.wikimedia.org/wikipedia/commons/4/40/Pearl_Jam_2016.jpg,,https://en.wikipedia.org/wiki/Pearl_Jam,"Pearl Jam is an American rock band formed in Seattle, Washington, in 1990. One of the key bands in the grunge movement of the early 1990s, Pearl Jam has outsold and outlasted many of its contemporaries and is considered one of the most influential bands from that decade, dubbed ""the most popular American rock and roll band of the '90s"". The band has consisted of guitarists Stone Gossard and Mike M"
