id,date,dayOfWeek,artist,city,state,venue,attendedWith,hasPoster,setlistLink,tourName,openingActs,notes
50,2019-01-28,Monday,Metallica,Raleigh,NC,PNC Arena,Bill B.,Yes,https://www.setlist.fm/setlist/metallica/2019/pnc-arena-raleigh-nc-43958bb7.html,WorldWired Tour,,
51,2019-03-12,Tuesday,Elton John,Raleigh,NC,PNC Arena,"Dana K., Bill B.",Yes,https://www.setlist.fm/setlist/elton-john/2019/pnc-arena-raleigh-nc-392253b.html,Farewell Yellow Brick Road,,
52,2019-04-06,Saturday,KISS,Raleigh,NC,PNC Arena,Bill B.,Yes,https://www.setlist.fm/setlist/kiss/2019/pnc-arena-raleigh-nc-5b93eb20.html,End of the Road World Tour,,
53,2019-05-10,Friday,Epicenter Festival - Day 1,Rockingham,NC,Rockingham Motor Speedway,"Josh R., Bill B., Sean I.",Yes,https://www.setlist.fm/search?query=Epicenter+05%2F10%2F2019,Epicenter 2019,"Korn, Rob Zombie, Machine Gun Kelly, Evanescence, Meshuggah, Skillet, Beartooth, Mark Lanegan Band, Dorothy, Black Pistol Fire, Zeal & Ardor, Knocked Loose, Slothrust, Wilson, Hands Like Houses, Hyro the Hero, Amigo the Devil, Ded, Arrested Youth, Vein, Black Coffee, The Crystal Method",
54,2019-05-11,Saturday,Epicenter Festival - Day 2,Rockingham,NC,Rockingham Motor Speedway,"Josh R., Bill B., Sean I.",Yes,https://www.setlist.fm/search?query=Epicenter+05%2F10%2F2019,Epicenter 2019,"Motionless in White, Badflower, The Damned Things, Wage War, Crobot, Sylar, Shvpes, Dirty Honey, Alien Weaponry, Hyde, Tetrarch, Dead Girls Academy","Note: Tool, Judas Priest, The Cult, Bush, Black Label Society, Circa Survive, Yelawolf, grandson, Memphis May Fire, and Starset were all cancelled or cut short due to the storm evacuation."
55,2019-05-12,Sunday,Epicenter Festival - Day 3,Rockingham,NC,Rockingham Motor Speedway,"Josh R., Bill B., Sean I.",Yes,https://www.setlist.fm/search?query=Epicenter+05%2F10%2F2019,Epicenter 2019,"Foo Fighters, Bring Me the Horizon, 311, Live, Mastodon, Killswitch Engage, Architects, Tom Morello, Fever 333, Reignwolf, Yungblud, The Glorious Sons, Ho99o9, While She Sleeps, Basement, Scarlxrd, Movements, Teenage Wrist, Demob Happy, Boston Manor, Cleopatrick, The Dirty Nil",
56,2019-05-16,Thursday,Greta Van Fleet,Raleigh,NC,Red Hat Amphitheater,Bill B.,No,https://www.setlist.fm/setlist/greta-van-fleet/2019/red-hat-amphitheater-raleigh-nc-b901d02.html,March of the Peaceful Army Tour,,
57,2019-05-28,Tuesday,Stone Temple Pilots,Richmond,VA,The National,James F.,No,https://www.setlist.fm/setlist/stone-temple-pilots/2019/the-national-richmond-va-6b905a76.html,Dean DeLeo's/2019 Tour,,
58,2019-08-18,Sunday,Breaking Benjamin,Raleigh,NC,Coastal Credit Union Music Park at Walnut Creek,Josh R.,No,https://www.setlist.fm/setlist/breaking-benjamin/2019/coastal-credit-union-music-park-at-walnut-creek-raleigh-nc-7b9f3a70.html,Ember Tour,"Chevelle, Three Days Grace, Dorothy, DIAMANTE",
59,2019-09-19,Thursday,Ghost,Seattle,WA,WaMu Theatre,Sean I.,No,https://www.setlist.fm/setlist/ghost/2019/wamu-theater-seattle-wa-1b9cd98c.html,Ultimate Tour Named Death,,
60,2019-09-25,Wednesday,Guns N' Roses,Charlotte,NC,Spectrum Center,Bill B.,Yes,https://www.setlist.fm/setlist/guns-n-roses/2019/spectrum-center-charlotte-nc-5b9c3390.html,Not in This Lifetime... Tour,,
61,2019-11-19,Tuesday,Tool,Brooklyn,NY,Barclays Center,Chris D.,Yes,https://www.setlist.fm/setlist/tool/2019/barclays-center-brooklyn-ny-639a82f3.html,Fear Inoculum Tour,Killing Joke,
